prefix	name	norm_name
улица	клары цеткин	клары цеткин
улица	константина федина	константина федина
улица	константина царева	константина царева
улица	корнеева	корнеева
улица	корсакова	корсакова
улица	космонавта волкова	космонавта волкова
улица	космонавтов	космонавтов
улица	косыгина	косыгина
улица	котовского	котовского
улица	красина	красина
улица	красная пресня	красная пресня
улица	красного маяка	красного маяка
улица	кржижановского	кржижановского
улица	крупской	крупской
улица	крылатские холмы	крылатские холмы
улица	крымский вал	крымский вал
улица	кузнецкий мост	кузнецкий мост
улица	кульнева	кульнева
улица	куусинена	куусинена
улица	лавочкина	лавочкина
улица	лазо	лазо
улица	ленивка	ленивка
улица	ленина	ленина
улица	ленинская слобода	ленинская слобода
улица	лескова	лескова
улица	лётчика бабушкина	лётчика бабушкина
улица	летчика бабушкина	летчика бабушкина
улица	лефортовский вал	лефортовский вал
улица	линии октябрьской железной дороги	линии октябрьской железной дороги
улица	литвина-седого	литвина-седого
улица	льва толстого	льва толстого
улица	львова	львова
улица	ляпидевского	ляпидевского
улица	малая дмитровка	малая дмитровка
улица	малая ордынка	малая ордынка
улица	маросейка	маросейка
улица	маршала бирюзова	маршала бирюзова
улица	маршала василевского	маршала василевского
улица	маршала захарова	маршала захарова
улица	маршала катукова (дублер)	маршала катукова ( дублер )
улица	маршала неделина	маршала неделина
улица	маршала соколовского	маршала соколовского
улица	маршала тухачевского	маршала тухачевского
улица	маршала шестопалова	маршала шестопалова
улица	мастеркова	мастеркова
улица	маши порываевой	маши порываевой
